artist,songs,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature
Bon Jovi,Livin' On A Prayer,spotify:track:37ZJ0p5Jm13JPevGcx4SkF,0.532,0.887,0,-3.757,1,0.0335,0.0778,0.000214,0.294,0.795,122.511,audio_features,37ZJ0p5Jm13JPevGcx4SkF,https://api.spotify.com/v1/tracks/37ZJ0p5Jm13JPevGcx4SkF,https://api.spotify.com/v1/audio-analysis/37ZJ0p5Jm13JPevGcx4SkF,249293,4
Rose Royce,Wishing on a Star,spotify:track:0u2CGItUO2jYEiFaXD7n5S,0.333,0.422,5,-15.171,0,0.0527,0.716,4.13e-05,0.0455,0.553,97.305,audio_features,0u2CGItUO2jYEiFaXD7n5S,https://api.spotify.com/v1/tracks/0u2CGItUO2jYEiFaXD7n5S,https://api.spotify.com/v1/audio-analysis/0u2CGItUO2jYEiFaXD7n5S,291760,4
Muse,Supremacy,spotify:track:40pPI2TbaYSZlKfV44HRjn,0.256,0.679,9,-4.495,0,0.0387,0.00451,0.0409,0.172,0.325,158.718,audio_features,40pPI2TbaYSZlKfV44HRjn,https://api.spotify.com/v1/tracks/40pPI2TbaYSZlKfV44HRjn,https://api.spotify.com/v1/audio-analysis/40pPI2TbaYSZlKfV44HRjn,295373,4
Whigfield,Saturday Night - Radio Mix,spotify:track:59VRFpPnC8pOhIH2WCWXF9,0.728,0.784,11,-11.776,1,0.0379,0.0449,0.0918,0.0964,0.964,129.981,audio_features,59VRFpPnC8pOhIH2WCWXF9,https://api.spotify.com/v1/tracks/59VRFpPnC8pOhIH2WCWXF9,https://api.spotify.com/v1/audio-analysis/59VRFpPnC8pOhIH2WCWXF9,247406,4
Eminem,The Real Slim Shady,spotify:track:3yfqSUWxFvZELEM4PmlwIR,0.949,0.661,5,-4.244,0,0.0572,0.0302,0.0,0.0454,0.76,104.504,audio_features,3yfqSUWxFvZELEM4PmlwIR,https://api.spotify.com/v1/tracks/3yfqSUWxFvZELEM4PmlwIR,https://api.spotify.com/v1/audio-analysis/3yfqSUWxFvZELEM4PmlwIR,284200,4
Echo & the Bunnymen,The Cutter,spotify:track:1uquUeoieXGKOyuHfjWWdS,0.471,0.955,7,-5.219,1,0.121,0.00485,1.44e-06,0.162,0.35,139.266,audio_features,1uquUeoieXGKOyuHfjWWdS,https://api.spotify.com/v1/tracks/1uquUeoieXGKOyuHfjWWdS,https://api.spotify.com/v1/audio-analysis/1uquUeoieXGKOyuHfjWWdS,232746,4
Die Ã„rzte,Schunder-Song,spotify:track:2OLPgRjanLolNsJLkI3cms,0.49,0.951,0,-3.813,1,0.178,0.0072,7.42e-05,0.116,0.535,172.264,audio_features,2OLPgRjanLolNsJLkI3cms,https://api.spotify.com/v1/tracks/2OLPgRjanLolNsJLkI3cms,https://api.spotify.com/v1/audio-analysis/2OLPgRjanLolNsJLkI3cms,186773,4
Dr. Dre,Still D.R.E.,spotify:track:503OTo2dSqe7qk76rgsbep,0.816,0.775,11,-3.323,1,0.234,0.16,0.00031,0.0543,0.527,93.431,audio_features,503OTo2dSqe7qk76rgsbep,https://api.spotify.com/v1/tracks/503OTo2dSqe7qk76rgsbep,https://api.spotify.com/v1/audio-analysis/503OTo2dSqe7qk76rgsbep,270587,4
Supertramp,Dreamer,spotify:track:5z4ljpMLi1LTF8UG9P53fH,0.664,0.414,5,-14.113,1,0.0675,0.864,0.0367,0.0813,0.831,147.883,audio_features,5z4ljpMLi1LTF8UG9P53fH,https://api.spotify.com/v1/tracks/5z4ljpMLi1LTF8UG9P53fH,https://api.spotify.com/v1/audio-analysis/5z4ljpMLi1LTF8UG9P53fH,213236,4
KK,Feel My Love,spotify:track:4EjO3ELtQkbOBox5adad6a,0.746,0.697,7,-7.693,0,0.0422,0.0144,0.000746,0.167,0.542,99.974,audio_features,4EjO3ELtQkbOBox5adad6a,https://api.spotify.com/v1/tracks/4EjO3ELtQkbOBox5adad6a,https://api.spotify.com/v1/audio-analysis/4EjO3ELtQkbOBox5adad6a,299893,4
